Date,Source,Site ID,Daily_Mean_PM25_Concentration,UNITS,DAILY_AQI,Site_Name,PERCENT_COMPLETE,AQS_PARAMETER_DESC,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3-Jul-2000,AQS,360610010,36,ug/m3 LC,102,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
4-Jul-2000,AQS,360610010,30.3,ug/m3 LC,89,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
5-Jul-2000,AQS,360610056,14.2,ug/m3 LC,55,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
6-Jul-2000,AQS,360610010,8.3,ug/m3 LC,35,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
7-Jul-2000,AQS,360610010,6.6,ug/m3 LC,28,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
8-Jul-2000,AQS,360610010,6.2,ug/m3 LC,26,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
9-Jul-2000,AQS,360610010,22.7,ug/m3 LC,73,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
10-Jul-2000,AQS,360610010,31.3,ug/m3 LC,91,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
11-Jul-2000,AQS,360610062,8.7,ug/m3 LC,36,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
12-Jul-2000,AQS,360610010,9.3,ug/m3 LC,39,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
13-Jul-2000,AQS,360610010,14.3,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
14-Jul-2000,AQS,360610056,12.4,ug/m3 LC,52,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
15-Jul-2000,AQS,360610010,7.8,ug/m3 LC,33,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
16-Jul-2000,AQS,360610010,15.6,ug/m3 LC,58,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
17-Jul-2000,AQS,360610056,13.8,ug/m3 LC,55,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
18-Jul-2000,AQS,360610010,29.7,ug/m3 LC,88,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
19-Jul-2000,AQS,360610010,10.7,ug/m3 LC,45,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
20-Jul-2000,AQS,360610062,12.3,ug/m3 LC,51,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
21-Jul-2000,AQS,360610010,25.4,ug/m3 LC,79,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
22-Jul-2000,AQS,360610010,16.3,ug/m3 LC,60,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
23-Jul-2000,AQS,360610062,9.7,ug/m3 LC,40,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
24-Jul-2000,AQS,360610010,15.2,ug/m3 LC,58,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
25-Jul-2000,AQS,360610010,9.5,ug/m3 LC,40,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
26-Jul-2000,AQS,360610056,8.6,ug/m3 LC,36,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
27-Jul-2000,AQS,360610010,7,ug/m3 LC,29,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
28-Jul-2000,AQS,360610010,13.9,ug/m3 LC,55,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
29-Jul-2000,AQS,360610056,12.3,ug/m3 LC,51,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
30-Jul-2000,AQS,360610010,14.5,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
31-Jul-2000,AQS,360610010,13,ug/m3 LC,53,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
1-Aug-2000,AQS,360610056,21.3,ug/m3 LC,70,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
2-Aug-2000,AQS,360610010,29.3,ug/m3 LC,87,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
3-Aug-2000,AQS,360610010,23.8,ug/m3 LC,76,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
4-Aug-2000,AQS,360610010,19.5,ug/m3 LC,67,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
5-Aug-2000,AQS,360610010,9.2,ug/m3 LC,38,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
7-Aug-2000,AQS,360610056,30,ug/m3 LC,89,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
8-Aug-2000,AQS,360610010,25,ug/m3 LC,78,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
9-Aug-2000,AQS,360610010,28.8,ug/m3 LC,86,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
10-Aug-2000,AQS,360610062,20,ug/m3 LC,68,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
11-Aug-2000,AQS,360610010,21.5,ug/m3 LC,71,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
12-Aug-2000,AQS,360610010,11.1,ug/m3 LC,46,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
13-Aug-2000,AQS,360610062,8.3,ug/m3 LC,35,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
14-Aug-2000,AQS,360610010,8,ug/m3 LC,33,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
15-Aug-2000,AQS,360610010,10.6,ug/m3 LC,44,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
16-Aug-2000,AQS,360610056,20.5,ug/m3 LC,69,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
17-Aug-2000,AQS,360610010,8.1,ug/m3 LC,34,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
18-Aug-2000,AQS,360610010,16.1,ug/m3 LC,59,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
19-Aug-2000,AQS,360610056,9.7,ug/m3 LC,40,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
20-Aug-2000,AQS,360610010,14.6,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
21-Aug-2000,AQS,360610010,5.8,ug/m3 LC,24,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
22-Aug-2000,AQS,360610056,14,ug/m3 LC,55,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
23-Aug-2000,AQS,360610010,20.6,ug/m3 LC,69,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
24-Aug-2000,AQS,360610010,37.7,ug/m3 LC,106,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
25-Aug-2000,AQS,360610062,19.5,ug/m3 LC,67,CANAL STREET,100,PM2.5 - Local Conditions,New York,New York,40.72062227,-74.00367397
26-Aug-2000,AQS,360610010,21.4,ug/m3 LC,71,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
27-Aug-2000,AQS,360610010,31,ug/m3 LC,91,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
28-Aug-2000,AQS,360610079,37.2,ug/m3 LC,105,IS 45,100,PM2.5 - Local Conditions,New York,New York,40.7997,-73.93432
29-Aug-2000,AQS,360610010,12.5,ug/m3 LC,52,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
30-Aug-2000,AQS,360610010,15.4,ug/m3 LC,58,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
31-Aug-2000,AQS,360610056,18.3,ug/m3 LC,64,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
1-Sep-2000,AQS,360610010,8.8,ug/m3 LC,37,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
2-Sep-2000,AQS,360610010,17.3,ug/m3 LC,62,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
3-Sep-2000,AQS,360610056,22.2,ug/m3 LC,72,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
4-Sep-2000,AQS,360610010,14.3,ug/m3 LC,56,,100,PM2.5 - Local Conditions,New York,New York,40.73954592,-73.98569447
6-Sep-2000,AQS,360610056,8,ug/m3 LC,33,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
9-Sep-2000,AQS,360610056,36.3,ug/m3 LC,103,PS 59,100,PM2.5 - Local Conditions,New York,New York,40.75912,-73.96661
